date,rank,artist,title,streams,streams7,total_streams,url
2026-05-22,189,The Chemical Brothers,Go,1341577,1341577,1341577,https://kworb.net/spotify/track/2Xhd1kYKj2aee7JR3nIlRe.html
2026-05-22,190,BTS,Into the Sun,1340875,9285761,126788344,https://kworb.net/spotify/track/1ZNolq7VI7efGlh2hb2VVr.html
2026-05-22,191,STELLA LEFTY,Boston,1338958,3992234,3992234,https://kworb.net/spotify/track/36idurZmYRjJ56KQ8JD9bN.html
2026-05-22,192,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,1337364,6473666,3668460589,https://kworb.net/spotify/track/0RiRZpuVRbi7oqRdSMwhQY.html
2026-05-22,193,Michael Jackson,Remember the Time,1335068,7762766,32448616,https://kworb.net/spotify/track/4jnFqNWeJCeCRHc4HCdxfd.html
2026-05-22,194,Mac Miller,The Spins,1334783,1334783,7643383,https://kworb.net/spotify/track/3iEUDvanZwQhLCIqUmCR7N.html
2026-05-22,195,eńau,Sesi Potret,1328498,5293909,5293909,https://kworb.net/spotify/track/4xoY4lZNoTjEuHsSmhgF1G.html
2026-05-22,196,Gracie Abrams,That’s So True,1327721,6728458,1707344713,https://kworb.net/spotify/track/7ne4VBA60CxGM75vw0EYad.html
2026-05-22,197,The Long Faces,Jane!,1327157,2513331,37265434,https://kworb.net/spotify/track/0IjdXwCEhZR7JIwq6Za8j5.html
2026-05-22,198,Alex Warren,FEVER DREAM,1326393,1326393,147407967,https://kworb.net/spotify/track/7ogpGbKc4Io6NCU6ydxXwZ.html
2026-05-22,199,The Outfield,Your Love,1325197,2629989,219231632,https://kworb.net/spotify/track/2jPCbFrFlyGbKgblxub8Lm.html
2026-05-22,200,BTS,Merry Go Round,1320904,9128257,139921537,https://kworb.net/spotify/track/3VegC0PZiHjGxb80DER8XU.html
